function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","0,1",1,1.01,-1.5571754013825712,-1.5571754013825712,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","1,0",1,1.10,-4.042598632979729,-4.042598632979729,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","0,2",2,2.02,-0.11194631560022374,-0.11194631560022372,1.3877787807814457E-17,1.9259299443872359E-34
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","1,1",2,2.11,3.5295057811261916,3.5295057811261916,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","2,0",2,2.20,13.919182910034438,13.919182910034436,1.7763568394002505E-15,3.1554436208840472E-30
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","0,3",3,3.03,-5.2720536702588845,-5.2720536702588845,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","1,2",3,3.12,0.12707907754380443,0.12707907754380443,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","3,0",3,3.30,-31.75344021117369,-31.75344021117369,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","0,4",4,4.04,1.9061861631570665,1.9061861631570665,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,9,"-0.88204000586593578;0.021179846257300738","5,0",5,5.50,0,0,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,0,1",1,1.001,0.76627063619885383,0.76627063619885394,1.1102230246251565E-16,1.2325951644078309E-32
